variance,max H,max S,max V,H*S,ok not ok,
6940,178,218,255,38804,1,
1830,179,219,255,39201,1,
18,178,214,255,38092,1,
9,179,197,255,35263,1,
16,179,197,255,35263,1,
33,179,198,255,35442,1,
57,179,184,255,32936,1,
77,179,185,255,33115,1,
141,177,184,255,32568,1,
353,176,181,255,31856,1,
712,176,181,255,31856,1,
1110,173,181,255,31313,1,
1360,173,181,255,31313,1,
1450,173,179,255,30967,1,
1740,173,164,255,28372,1,
2100,173,166,255,28718,1,
2410,173,166,255,28718,1,
2570,172,164,255,28208,1,
2590,173,159,255,27507,1,
3130,178,147,255,26166,1,
2830,178,141,255,25098,1,
2650,177,138,255,24426,1,
2530,176,135,255,23760,1,
2310,176,137,255,24112,1,
1890,175,141,255,24675,1,
1520,176,142,255,24992,1,
1270,176,141,255,24816,1,
1220,176,140,255,24640,1,
1110,177,138,255,24426,1,
862,178,140,255,24920,1,
239,179,144,255,25776,1,
121,178,144,255,25632,1,
102,178,142,255,25276,1,
100,176,142,255,24992,1,
102,177,142,255,25134,1,
139,177,144,255,25488,1,
156,176,145,255,25520,1,
167,175,144,255,25200,1,
174,178,143,255,25454,1,
187,178,143,255,25454,1,
197,178,143,255,25454,1,
197,179,141,255,25239,1,
196,179,142,255,25418,1,
193,179,140,255,25060,1,
187,179,138,255,24702,1,
184,177,136,255,24072,1,
177,176,136,255,23936,1,
171,176,138,255,24288,1,
163,176,137,255,24112,1,
145,176,138,255,24288,1,
128,177,139,255,24603,1,
122,178,138,255,24564,1,
127,179,139,255,24881,1,
129,179,137,255,24523,1,
124,179,137,255,24523,1,
118,179,139,255,24881,1,
113,179,139,255,24881,1,
111,179,134,255,23986,1,
114,179,141,255,25239,1,
110,177,143,255,25311,1,
110,177,143,255,25311,1,
110,177,143,255,25311,1,
110,177,143,255,25311,1,
1340,179,147,255,26313,1,
1340,179,147,255,26313,1,
1340,179,147,255,26313,1,
1360,178,147,255,26166,1,
1360,178,147,255,26166,1,
1360,178,147,255,26166,1,
1360,178,147,255,26166,1,
1360,178,147,255,26166,1,
1360,178,147,255,26166,1,
1340,179,147,255,26313,1,
1780,179,130,255,23270,1,
1780,179,130,255,23270,1,
1780,179,130,255,23270,1,
1780,179,130,255,23270,1,
1780,179,130,255,23270,1,
1780,179,130,255,23270,1,
1780,179,130,255,23270,1,
1780,179,130,255,23270,1,
1780,179,130,255,23270,1,
1780,179,130,255,23270,1,
132,179,136,255,24344,1,
132,179,136,255,24344,1,
132,179,136,255,24344,1,
132,179,136,255,24344,1,
130,179,136,255,24344,1,
130,179,136,255,24344,1,
130,179,136,255,24344,1,
130,179,136,255,24344,1,
130,179,136,255,24344,1,
188,178,136,255,24208,1,
188,178,136,255,24208,1,
188,178,136,255,24208,1,
186,178,136,255,24208,1,
186,178,136,255,24208,1,
188,178,136,255,24208,1,
188,178,136,255,24208,1,
188,178,136,255,24208,1,
188,178,136,255,24208,1,
188,178,136,255,24208,1,
186,178,138,255,24564,1,
186,178,138,255,24564,1,
186,178,138,255,24564,1,
186,178,138,255,24564,1,
186,178,138,255,24564,1,
186,178,138,255,24564,1,
186,178,138,255,24564,1,
186,178,138,255,24564,1,
186,178,138,255,24564,1,
184,178,137,255,24386,1,
450,179,158,255,28282,1,
443,179,158,255,28282,1,
443,179,158,255,28282,1,
459,179,158,255,28282,1,
459,179,158,255,28282,1,
458,179,158,255,28282,1,
464,179,158,255,28282,1,
441,179,158,255,28282,1,
405,179,157,255,28103,1,
401,179,157,255,28103,1,
4040,179,169,255,30251,1,
145,179,169,255,30251,1,
150,179,169,255,30251,1,
150,179,169,255,30251,1,
145,179,169,255,30251,1,
145,179,169,255,30251,1,
125,179,169,255,30251,1,
2910,177,184,255,32568,1,
2870,177,186,255,32922,1,
3090,178,184,255,32752,1,
510,178,181,255,32218,1,
484,178,180,255,32040,1,
443,179,180,255,32220,1,
470,178,180,255,32040,1,
448,178,182,255,32396,1,
404,178,181,255,32218,1,
11,178,181,114,32218,1,
629,179,180,255,32220,1,
488,177,217,255,38409,1,
489,176,209,255,36784,1,
443,176,205,255,36080,1,
518,177,205,255,36285,1,
477,176,204,255,35904,1,
532,176,203,255,35728,1,
531,177,202,255,35754,1,
531,177,202,255,35754,1,
531,177,202,255,35754,1,
3320,178,200,255,35600,1,
2340,178,199,255,35422,1,
2260,178,197,255,35066,1,
2750,178,200,255,35600,1,
2860,178,213,255,37914,1,
2520,178,226,255,40228,1,
2370,178,226,255,40228,1,
2340,178,226,255,40228,1,
2340,178,226,255,40228,1,
576,179,166,255,29714,1,
556,179,167,255,29893,1,
541,179,167,255,29893,1,
532,179,166,255,29714,1,
532,179,166,255,29714,1,
533,177,164,255,29028,1,
534,177,164,255,29028,1,
565,178,164,255,29192,1,
2390,177,183,255,32391,1,
604,178,165,255,29370,1,
2440,179,184,255,32936,1,
718,177,179,255,31683,1,
721,177,178,255,31506,1,
784,177,180,255,31860,1,
874,177,184,255,32568,1,
874,177,184,255,32568,1,
874,177,184,255,32568,1,
628,176,172,255,30272,1,
737,177,186,255,32922,1,
710,177,172,255,30444,1,
628,176,172,255,30272,1,
710,177,172,255,30444,1,
710,177,172,255,30444,1,
706,177,172,255,30444,1,
710,177,172,255,30444,1,
706,177,172,255,30444,1,
2250,178,161,255,28658,1,
2250,178,161,255,28658,1,
828,177,157,255,27789,1,
828,177,157,255,27789,1,
866,177,158,255,27966,1,
828,177,157,255,27789,1,
866,177,158,255,27966,1,
391,177,146,255,25842,1,
866,177,158,255,27966,1,
383,177,146,255,25842,1,
383,177,146,255,25842,1,
383,177,146,255,25842,1,
383,177,146,255,25842,1,
383,177,146,255,25842,1,
383,177,146,255,25842,1,
383,177,146,255,25842,1,
1360,179,147,255,26313,1,
1360,179,147,255,26313,1,
1360,179,147,255,26313,1,
1360,179,147,255,26313,1,
1430,177,150,255,26550,1,
1380,177,151,255,26727,1,
1430,177,150,255,26550,1,
1430,177,150,255,26550,1,
463,178,152,255,27056,1,
1430,177,150,255,26550,1,
454,178,151,255,26878,1,
454,178,151,255,26878,1,
