variance,max H,max S,max V,H*S,ok not ok
7.13E+03,175,201,255,35175,1
1.98E+03,176,203,255,35728,1
1.92E+02,177,205,255,36285,1
1.58E+02,177,185,255,32745,1
1.40E+02,176,186,255,32736,1
1.23E+02,174,189,255,32886,1
1.14E+02,173,190,255,32870,1
1.09E+02,178,187,255,33286,1
1.48E+02,178,183,255,32574,1
3.42E+02,178,176,255,31328,1
7.07E+02,178,167,255,29726,1
1.14E+03,179,168,255,30072,1
1.39E+03,179,168,255,30072,1
1.49E+03,177,168,255,29736,1
1.93E+03,173,168,255,29064,1
2.40E+03,171,163,255,27873,1
2.83E+03,172,158,255,27176,1
3.03E+03,172,156,255,26832,1
3.03E+03,173,155,255,26815,1
3.27E+03,176,145,255,25520,1
2.98E+03,177,147,255,26019,1
2.83E+03,177,143,255,25311,1
2.74E+03,177,139,255,24603,1
2.52E+03,178,142,255,25276,1
2.10E+03,178,141,255,25098,1
1.72E+03,178,141,255,25098,1
1.47E+03,178,142,255,25276,1
1.41E+03,177,139,255,24603,1
1.32E+03,176,137,255,24112,1
1.04E+03,177,138,255,24426,1
3.07E+02,178,130,255,23140,1
1.59E+02,178,129,255,22962,1
1.33E+02,178,135,255,24030,1
1.21E+02,177,139,255,24603,1
1.00E+02,177,140,255,24780,1
8.08E+01,177,146,255,25842,1
8.35E+01,177,148,255,26196,1
8.70E+01,177,148,255,26196,1
9.53E+01,177,147,255,26019,1
1.00E+02,176,147,255,25872,1
9.95E+01,176,144,255,25344,1
9.51E+01,178,138,255,24564,1
9.37E+01,178,143,255,25454,1
9.37E+01,178,147,255,26166,1
9.16E+01,177,148,255,26196,1
8.78E+01,177,148,255,26196,1
8.71E+01,177,149,255,26373,1
9.99E+01,177,152,255,26904,1
1.14E+02,177,153,255,27081,1
1.20E+02,178,153,255,27234,1
1.19E+02,178,153,255,27234,1
1.18E+02,178,151,255,26878,1
1.13E+02,179,149,255,26671,1
1.06E+02,178,148,255,26344,1
1.07E+02,178,149,255,26522,1
1.16E+02,178,150,255,26700,1
1.25E+02,178,148,255,26344,1
1.42E+02,176,151,255,26576,1
1.55E+02,176,153,255,26928,1
1.57E+02,176,153,255,26928,1
1.57E+02,176,153,255,26928,1
1.57E+02,176,153,255,26928,1
1.57E+02,176,153,255,26928,1
1.62E+03,179,150,255,26850,1
1.62E+03,179,150,255,26850,1
1.62E+03,179,150,255,26850,1
1.65E+03,179,150,255,26850,1
1.65E+03,179,150,255,26850,1
1.65E+03,179,150,255,26850,1
1.65E+03,179,150,255,26850,1
1.65E+03,179,150,255,26850,1
1.65E+03,179,150,255,26850,1
1.62E+03,179,150,255,26850,1
1.96E+03,172,137,255,23564,1
1.96E+03,172,137,255,23564,1
1.96E+03,172,137,255,23564,1
1.96E+03,172,137,255,23564,1
1.96E+03,172,137,255,23564,1
1.96E+03,172,137,255,23564,1
1.96E+03,172,137,255,23564,1
1.96E+03,172,137,255,23564,1
1.96E+03,172,137,255,23564,1
1.96E+03,172,137,255,23564,1
1.84E+02,177,145,255,25665,1
1.84E+02,177,145,255,25665,1
1.84E+02,177,145,255,25665,1
1.84E+02,177,145,255,25665,1
1.84E+02,177,144,255,25488,1
1.84E+02,177,144,255,25488,1
1.84E+02,177,144,255,25488,1
1.84E+02,177,144,255,25488,1
1.84E+02,177,144,255,25488,1
1.67E+02,178,140,255,24920,1
1.67E+02,178,140,255,24920,1
1.67E+02,178,140,255,24920,1
1.66E+02,178,140,255,24920,1
1.66E+02,178,140,255,24920,1
1.67E+02,178,140,255,24920,1
1.67E+02,178,140,255,24920,1
1.67E+02,178,140,255,24920,1
1.67E+02,178,140,255,24920,1
1.67E+02,178,140,255,24920,1
1.88E+02,179,143,255,25597,1
1.88E+02,179,143,255,25597,1
1.88E+02,179,143,255,25597,1
1.88E+02,179,143,255,25597,1
1.85E+02,179,144,255,25776,1
1.85E+02,179,144,255,25776,1
1.85E+02,179,144,255,25776,1
1.88E+02,179,143,255,25597,1
1.88E+02,179,143,255,25597,1
1.90E+02,179,143,255,25597,1
3.09E+02,178,165,255,29370,1
2.89E+02,178,167,255,29726,1
2.89E+02,178,167,255,29726,1
3.39E+02,178,167,255,29726,1
3.39E+02,178,167,255,29726,1
3.40E+02,179,167,255,29893,1
3.13E+02,178,169,255,30082,1
3.10E+02,178,168,255,29904,1
2.96E+02,178,166,255,29548,1
2.94E+02,178,166,255,29548,1
5.03E+03,178,191,255,33998,1
2.23E+02,177,208,255,36816,1
2.51E+02,176,199,255,35024,1
2.59E+02,176,196,255,34496,1
2.47E+02,179,191,255,34189,1
2.47E+02,179,191,255,34189,1
2.70E+02,179,187,255,33473,1
3.27E+03,177,204,255,36108,1
3.16E+03,177,203,255,35931,1
3.45E+03,177,203,255,35931,1
1.36E+02,177,215,255,38055,1
1.50E+02,177,214,255,37878,1
1.28E+02,178,215,255,38270,1
1.67E+02,177,216,255,38232,1
2.05E+02,174,217,255,37758,1
1.84E+02,176,219,255,38544,1
4.73E+00,178,220,94,39160,1
3.65E+02,179,221,255,39559,1
2.17E+02,179,192,255,34368,1
2.19E+02,177,191,255,33807,1
1.85E+02,178,191,255,33998,1
2.33E+02,178,190,255,33820,1
2.07E+02,178,190,255,33820,1
2.44E+02,178,190,255,33820,1
2.48E+02,176,192,255,33792,1
2.48E+02,176,192,255,33792,1
2.48E+02,176,192,255,33792,1
3.06E+03,179,194,255,34726,1
